no,pic,cla,ans,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_huan.thisRepN,trials_huan.thisTrialN,trials_huan.thisN,trials_huan.thisIndex,trials_baseline.thisRepN,trials_baseline.thisTrialN,trials_baseline.thisN,trials_baseline.thisIndex,trials_formal.thisRepN,trials_formal.thisTrialN,trials_formal.thisN,trials_formal.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_huan.keys,key_resp_huan.rt,key_resp_base.keys,key_resp_base.rt,key_resp_for.keys,key_resp_for.rt,date,frameRate,expName,session,participant,
20,pic/7.png,aaa,['num_7'],,,,,,,,,,,,,0,21,21,21,,,,,,,,num_7,0.503158599982,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
21,pic/7.png,aaa,['num_7'],,,,,,,,,,,,,0,22,22,22,,,,,,,,num_7,0.318857900013,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
22,pic/7.png,aaa,['num_7'],,,,,,,,,,,,,0,23,23,23,,,,,,,,num_7,0.301872799988,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
-1,pic/6.png,huan,['num_6'],,,,,,,,,,,,,0,24,24,24,,,,,,,,num_6,0.469277800003,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
-1,pic/3.png,huan,['num_3'],,,,,,,,,,,,,0,25,25,25,,,,,,,,num_3,0.519370800001,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
23,pic/3.png,abb,['num_3'],,,,,,,,,,,,,0,26,26,26,,,,,,,,num_3,0.369267299975,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
24,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,27,27,27,,,,,,,,num_2,0.435736599989,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
25,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,28,28,28,,,,,,,,num_2,0.302274899994,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
26,pic/6.png,abb,['num_6'],,,,,,,,,,,,,0,29,29,29,,,,,,,,num_6,0.937073799985,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
27,pic/5.png,abb,['num_5'],,,,,,,,,,,,,0,30,30,30,,,,,,,,num_5,0.468846199976,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
28,pic/5.png,abb,['num_5'],,,,,,,,,,,,,0,31,31,31,,,,,,,,num_5,0.485790499981,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
29,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,32,32,32,,,,,,,,num_4,0.419410100003,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
30,pic/8.png,abb,['num_8'],,,,,,,,,,,,,0,33,33,33,,,,,,,,num_8,0.452046199993,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
31,pic/8.png,abb,['num_8'],,,,,,,,,,,,,0,34,34,34,,,,,,,,num_8,0.40240370002,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
32,pic/6.png,abb,['num_6'],,,,,,,,,,,,,0,35,35,35,,,,,,,,num_6,0.486147299991,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
33,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,36,36,36,,,,,,,,num_7,0.519573400001,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
34,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,37,37,37,,,,,,,,num_7,0.519019500003,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
35,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,38,38,38,,,,,,,,num_7,0.386436900008,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
36,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,39,39,39,,,,,,,,num_4,0.603474100004,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
37,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,40,40,40,,,,,,,,num_4,0.469791500014,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
38,pic/1.png,abb,['num_1'],,,,,,,,,,,,,0,41,41,41,,,,,,,,num_1,0.670310199988,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
39,pic/8.png,abb,['num_8'],,,,,,,,,,,,,0,42,42,42,,,,,,,,num_8,0.46894240001,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
40,pic/8.png,abb,['num_8'],,,,,,,,,,,,,0,43,43,43,,,,,,,,num_8,0.402312999999,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
